Cooling_Priority_Rank,Zone_ID,Mean_Baseline_LST,Mean_Greening_Cooling_C,Mean_Cool_Surface_Cooling_C,Mean_Best_Cooling_C,Mean_Population,Zone_Latitude,Zone_Longitude,Point_Count,Recommended_Intervention
1,0_6,43.506454,1.0978583,0.47276676,1.1697778,2.641624979178111,19.733411604880125,75.27299666350606,30,Urban greening
2,13_9,44.616367,0.9009691,0.31929195,1.034609,1.135170970360438,19.993965580179,75.3323861193821,30,Urban greening
3,6_20,45.72159,0.9107199,0.2996198,0.9228715,5.377040460705757,19.85378275143717,75.55195642215162,32,Urban greening
4,9_7,44.981224,0.85820603,0.31906,0.8855263,14.63548704429909,19.914049771238883,75.29097881537052,27,Urban greening
5,4_21,46.940758,0.742268,0.32499167,0.79699695,2.618992262873156,19.81318657181185,75.5718238131596,29,Urban greening
6,4_20,46.27741,0.68661284,0.38665274,0.7918997,2.68491448296441,19.812505386381705,75.5527329461197,36,Urban greening
7,2_11,45.697147,0.7375112,0.48292923,0.79103315,1.51546448469162,19.772851980341336,75.37182948048101,34,Urban greening
8,5_0,42.71167,0.37082672,0.7851715,0.7851715,1.5659669637680054,19.841369232111752,75.16109903812296,1,Cool/permeable surfaces
9,10_22,46.160492,0.77717304,0.17770672,0.77717304,2.4228582084178925,19.9371267155373,75.5832616355265,4,Urban greening
10,13_7,44.58492,0.5656103,0.35059047,0.77492666,1.1111097317188978,19.992572519895976,75.2906902554495,32,Urban greening
